Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
"SEO, GEO & Content Growth Lead (Canva/Figma Expertise)","Finexer (London, United Kingdom)",Work from home,"₹ 10,20,000 - 21,00,000",1,2,https://internshala.com/job/detail/remote-seo-geo-content-growth-lead-canva-figma-expertise-job-at-finexer1766139655,10.0,Work from home
Sales Executive,Prisha Gupta,Delhi,"₹ 10,20,000 - 12,20,000",0,1,https://internshala.com/job/detail/fresher-sales-executive-job-in-delhi-at-prisha-gupta1766749225,10.0,Delhi
Founders Office Growth,Qrata,Mumbai,"₹ 10,00,000 - 23,00,000",1,2,https://internshala.com/job/detail/founders-office-growth-job-in-mumbai-at-qrata1766567899,10.0,Mumbai
Full Stack Developer,Social Booster Media,Pune,"₹ 10,00,000 - 20,00,000",1,3,https://internshala.com/job/detail/full-stack-developer-job-in-pune-at-social-booster-media1765263557,10.0,Pune
Senior Patent Associate,Bharat Business Innovations Pvt Ltd,"Delhi,Bangalore","₹ 10,00,000 - 20,00,000",1,5,https://internshala.com/job/detail/senior-patent-associate-job-in-multiple-locations-at-bharat-business-innovations-pvt-ltd1767400211,10.0,Delhi
Clinical Transformation Project Manager,Sir H.N. Reliance Foundation Hospital & Research Centre,Mumbai,"₹ 10,00,000 - 20,00,000",5,1,https://internshala.com/job/detail/clinical-transformation-project-manager-job-in-mumbai-at-sir-hn-reliance-foundation-hospital-research-centre1767054610,10.0,Mumbai
Sales & Marketing (College Outreach),IRASTRIVE Technologies Pvt Ltd,"Agra,Chennai,Gurgaon,Indore,Pune,Greater Noida,Hyderabad,Jaipur,Noida,Gwalior,Mathura,Bangalore,Chandigarh,Keralapuram,Delhi(Hybrid)","₹ 10,00,000 - 16,00,000",1,1,https://internshala.com/job/detail/sales-marketing-college-outreach-job-in-multiple-locations-at-irastrive-technologies-pvt-ltd1766725648,10.0,Agra
Senior Graphic Designer,GOBRISK TECHNOLOGIES PVT LTD,Mumbai,"₹ 10,00,000 - 15,00,000",1,0,https://internshala.com/job/detail/senior-graphic-designer-job-in-mumbai-at-gobrisk-technologies-pvt-ltd1767784659,10.0,Mumbai
Full Stack Developer,SurgePV,Work from home,"₹ 10,00,000 - 15,00,000",1,2,https://internshala.com/job/detail/remote-full-stack-developer-job-at-heaven-designs-private-limited1766063164,10.0,Work from home
Senior Marketing Associate,Goodera,Bangalore,"₹ 10,00,000 - 15,00,000",1,3,https://internshala.com/job/detail/senior-marketing-associate-job-in-bangalore-at-goodera1765540456,10.0,Bangalore
Java Developer,AIContentMatic,Gurgaon,"₹ 10,00,000 - 13,00,000",0,2,https://internshala.com/job/detail/fresher-java-developer-job-in-gurgaon-at-aicontentmatic1766564750,10.0,Gurgaon
SAP Business One – Technical Consultant,Overtures Infotech,Mumbai,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/sap-business-one--technical-consultant-job-in-mumbai-at-overtures-infotech1765786826,10.0,Mumbai
Full Stack Developer,Bryckel AI,Work from home,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/remote-full-stack-developer-job-at-bryckel-ai1765773851,10.0,Work from home
Dietician/Nutrition Coach,Cloudberry Health,Work from home,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/remote-dietician-nutrition-coach-job-at-cloudberry-health1765428471,10.0,Work from home
Fitness/Movement Coach,Cloudberry Health,Work from home,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/remote-fitness-movement-coach-job-at-cloudberry-health1765428296,10.0,Work from home
Medical Representative,Cloudberry Health,Work from home,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/remote-medical-representative-job-at-cloudberry-health1765428198,10.0,Work from home
CARE AGENT (Admin Lead),Cloudberry Health,Work from home,"₹ 10,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/remote-care-agent-admin-lead-job-at-cloudberry-health1765428102,10.0,Work from home
Senior Operations Manager,SAR STUDIO PVT. LTD.,"Pune,Mumbai","₹ 9,95,000 - 16,40,000",1,2,https://internshala.com/job/detail/senior-operations-manager-job-in-multiple-locations-at-sar-studio-pvt-ltd1766052399,9.0,Pune
Junior Travel & Tourism Associate,The Tarzan Way,Work from home,"₹ 9,60,000 - 11,00,000",0,1,https://internshala.com/job/detail/fresher-remote-junior-travel-tourism-associate-job-at-the-tarzan-way1767691547,9.0,Work from home
Travel Specialist,The Tarzan Way,Work from home,"₹ 9,60,000 - 11,00,000",0,3,https://internshala.com/job/detail/fresher-remote-travel-specialist-job-at-the-tarzan-way1765511875,9.0,Work from home
Event Management Executive,Lenn Chartered & Co,"Mumbai,Bangalore(Hybrid)","₹ 9,50,000 - 16,00,000",1,3,https://internshala.com/job/detail/event-management-executive-job-in-multiple-locations-at-lenn-chartered-co1765514216,9.0,Mumbai
Business Development Executive,Zell Education,Mumbai,"₹ 9,50,000 - 11,50,000",0,2,https://internshala.com/job/detail/fresher-business-development-executive-job-in-mumbai-at-zell-education1766061751,9.0,Mumbai
Finance Education Specialist,Lenn Chartered & Co,"Chennai,Delhi,Gandhinagar,Kolkata,Pune,Hyderabad,Mumbai,Bangalore,Marwar Junction,Indianoor,Gujarat(Hybrid)","₹ 9,20,000 - 27,00,000",1,2,https://internshala.com/job/detail/finance-education-specialist-job-in-multiple-locations-at-lenn-chartered-co1766381814,9.0,Chennai
AI Engineer,Icecreamlabs,Bangalore(Hybrid),"₹ 9,00,000 - 15,00,000",1,3,https://internshala.com/job/detail/ai-engineer-job-in-bangalore-at-icecreamlabs1765859894,9.0,Bangalore(Hybrid)
C++ Developer,TEKWings LLC,Pune,"₹ 9,00,000 - 14,40,000",6,2,https://internshala.com/job/detail/c-developer-job-in-pune-at-tekwings-llc1767659420,9.0,Pune
Sr. RM  Business Development- B2B Sales,JR Laddha Financial Services Pvt. Ltd.,Kolkata,"₹ 9,00,000 - 12,00,000",2,2,https://internshala.com/job/detail/sr-rm-business-development-b2b-sales-job-in-kolkata-at-jr-laddha-financial-services-pvt-ltd1767659416,9.0,Kolkata
Business Development Associate,Zell Education,Mumbai,"₹ 9,00,000 - 11,50,000",0,3,https://internshala.com/job/detail/fresher-business-development-associate-job-in-mumbai-at-zell-education1765861347,9.0,Mumbai
Software Developer,"UptrailAI (Sydney, Australia)",Work from home,"₹ 9,00,000 - 10,00,000",1,3,https://internshala.com/job/detail/remote-software-developer-job-at-uptrailai1765254572,9.0,Work from home
Business Development Sales,Globbly Ventures,Delhi,"₹ 9,00,000 - 9,40,000",1,1,https://internshala.com/job/detail/business-development-sales-job-in-delhi-at-globbly-ventures1767695793,9.0,Delhi
Field Sales Associate,A3 Services,Pune,"₹ 9,00,000",1,1,https://internshala.com/job/detail/field-sales-associate-job-in-pune-at-a3-services1766745279,9.0,Pune
Human Resources (HR) Manager,Water Town Swim School,"Delhi,Gurgaon,Noida","₹ 9,00,000",1,0,https://internshala.com/job/detail/human-resources-hr-manager-job-in-multiple-locations-at-water-town-swim-school1767795203,9.0,Delhi
Comedians/Story Telling Host,Buddy,Work from home,"₹ 9,00,000",0,2,https://internshala.com/job/detail/fresher-remote-part-time-comedians-story-telling-host-job-at-buddy1766554153,9.0,Work from home
Associate Full Stack Developer,Deevesoft,Work from home,"₹ 9,00,000",1,2,https://internshala.com/job/detail/remote-associate-full-stack-developer-job-at-deevesoft1766535729,9.0,Work from home
Communication Expert (Online),Buddy,Work from home,"₹ 9,00,000",0,2,https://internshala.com/job/detail/fresher-remote-communication-expert-online-job-at-buddy1766232751,9.0,Work from home
IRisePro Growth Partner (IGP-Mentor),IRisePro International EdTech & Career Solutions Private Limited.,Work from home,"₹ 8,60,000 - 10,70,000",0,3,https://internshala.com/job/detail/fresher-remote-part-time-irisepro-growth-partner-igp-mentor-job-at-irisepro-international-edtech-career-solutions-private-limited1765449017,8.0,Work from home
Plant HR Manager,Aces Global Consulting Pvt Ltd,Palwal,"₹ 8,40,000 - 9,60,000",7,7,https://internshala.com/job/detail/plant-hr-manager-job-in-palwal-at-aces-global-consulting-pvt-ltd1767227409,8.0,Palwal
Career Development Manager,Zell Education,Mumbai,"₹ 8,25,000 - 11,25,000",0,2,https://internshala.com/job/detail/fresher-career-development-manager-job-in-mumbai-at-zell-education1766056374,8.0,Mumbai
Manager Pharmacy Operations,Sir H.N. Reliance Foundation Hospital & Research Centre,Mau,"₹ 8,00,000 - 23,00,000",6,2,https://internshala.com/job/detail/manager-pharmacy-operations-job-in-mau-at-sir-hn-reliance-foundation-hospital-research-centre1767659417,8.0,Mau
Graphic Designer,Digital Heroes,Lucknow,"₹ 8,00,000 - 17,00,000",0,3,https://internshala.com/job/detail/fresher-graphic-designer-job-in-lucknow-at-digital-heroes1765602678,8.0,Lucknow
Business Development Executive,Ankur Jain,"Greater Noida,Noida,Delhi","₹ 8,00,000 - 13,00,000",0,3,https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-ankur-jain1765279676,8.0,Greater Noida
Sales Executive,Baweja Media,Work from home,"₹ 8,00,000 - 12,00,000",1,1,https://internshala.com/job/detail/remote-sales-executive-job-at-baweja-media1766992249,8.0,Work from home
Business Development Associate,Zell Education,Mumbai,"₹ 8,00,000 - 11,00,000",1,2,https://internshala.com/job/detail/business-development-associate-job-in-mumbai-at-zell-education1767608218,8.0,Mumbai
Full Stack Developer,Sparkmile Private Limited,Gurgaon(Hybrid),"₹ 8,00,000 - 10,80,000",1,1,https://internshala.com/job/detail/full-stack-developer-job-in-gurgaon-at-sparkmile-private-limited1767699698,8.0,Gurgaon(Hybrid)
Associate Software Developer,Wormos,Mumbai,"₹ 8,00,000 - 10,00,000",1,4,https://internshala.com/job/detail/part-time-associate-software-developer-job-in-mumbai-at-wormos1767456311,8.0,Mumbai
French Interpreter,Wehire Talent Solutions,Mumbai,"₹ 8,00,000 - 10,00,000",1,1,https://internshala.com/job/detail/french-interpreter-job-in-mumbai-at-wehire-talent-solutions1767092457,8.0,Mumbai
Software Development Engineer,Clappia,Bangalore,"₹ 8,00,000 - 10,00,000",1,2,https://internshala.com/job/detail/software-development-engineer-job-in-bangalore-at-clappia1766474321,8.0,Bangalore
AI Engineer,Bryckel AI,Work from home,"₹ 8,00,000 - 10,00,000",1,3,https://internshala.com/job/detail/remote-software-developer-job-at-bryckel-ai1765773767,8.0,Work from home
Program Manager,Goodera,Bangalore,"₹ 8,00,000 - 10,00,000",1,3,https://internshala.com/job/detail/program-manager-job-in-bangalore-at-goodera1765540827,8.0,Bangalore
Corporate Sales Specialist,Filium Enterprises Private Limited,Work from home,"₹ 8,00,000 - 10,00,000",0,3,https://internshala.com/job/detail/fresher-remote-corporate-sales-specialist-job-at-filium-enterprises-private-limited1764921910,8.0,Work from home
Executive - Port Operations - Dry Agri Commodity,Reliance Retail,"Kandla,Mundra,Uran","₹ 8,00,000 - 10,00,000",6,2,https://internshala.com/job/detail/executive-port-operations-dry-agri-commodity-job-in-multiple-locations-at-reliance-retail1767659417,8.0,Kandla
"Store Manager - Trends, Udupi",Reliance Retail,Udupi,"₹ 8,00,000 - 10,00,000",4,1,https://internshala.com/job/detail/store-manager-trends-udupi-job-in-udupi-at-reliance-retail1766795410,8.0,Udupi
Junior Brand Manager,Baldor Technologies (IDfy),Mumbai,"₹ 8,00,000 - 9,10,000",0,1,https://internshala.com/job/detail/fresher-junior-brand-manager-job-in-mumbai-at-baldor-technologies-idfy1766745269,8.0,Mumbai
Client Servicing & Sales Support,Vlocal Enterprise Private Limited,Bangalore,"₹ 8,00,000 - 9,00,001",0,2,https://internshala.com/job/detail/fresher-client-servicing-sales-support-job-in-bangalore-at-vlocal-enterprise-private-limited1766557069,8.0,Bangalore
Chartered Accountant (CA),Ananta Resource Management,Mumbai,"₹ 8,00,000 - 9,00,000",1,0,https://internshala.com/job/detail/part-time-chartered-accountant-ca-job-in-mumbai-at-ananta-resource-management1767784201,8.0,Mumbai
Chartered Accountant (CA),Mansi  Sharma,"Ahmedabad,Delhi,Gurgaon,Hyderabad,Mumbai,Bangalore","₹ 8,00,000 - 9,00,000",1,3,https://internshala.com/job/detail/chartered-accountant-ca-job-in-multiple-locations-at-mansi-sharma1765275485,8.0,Ahmedabad
Sales Manager,Luxury Cloud,Delhi,"₹ 8,00,000 - 9,00,000",1,3,https://internshala.com/job/detail/sales-manager-job-in-delhi-at-luxury-cloud1765365093,8.0,Delhi
Project Manager,Digital Heroes,Lucknow(Hybrid),"₹ 8,00,000",1,1,https://internshala.com/job/detail/project-manager-job-in-lucknow-at-digital-heroes1766747185,8.0,Lucknow(Hybrid)
Accounts Manager,Arthshashtri Corporate Services LLC,Jaipur,"₹ 8,00,000",1,3,https://internshala.com/job/detail/accounts-manager-job-in-jaipur-at-arthshashtri-corporate-services-llc1765628825,8.0,Jaipur
Assisstant Manager (Debt Syndication/Investment Banking),Arth Vritt Capital,"Delhi,Navi Mumbai,Mumbai,Bangalore,Maharashtra","₹ 8,00,000",0,3,https://internshala.com/job/detail/fresher-assisstant-manager-debt-syndication-investment-banking-job-in-multiple-locations-at-arth-vritt-capital1764932119,8.0,Delhi
Sales Representative,Anoop Gupta,Work from home,"₹ 7,80,000 - 14,40,000",1,3,https://internshala.com/job/detail/remote-sales-representative-job-at-anoop-gupta1765275007,7.0,Work from home
Business Development Executive,ByteBix Technologies,Noida,"₹ 7,80,000 - 10,00,000",1,2,https://internshala.com/job/detail/business-development-executive-job-in-noida-at-bytebix-technologies1766348740,7.0,Noida
Chartered Accountant (CA),Shah Pratik P & Associates,Mumbai,"₹ 7,80,000",0,3,https://internshala.com/job/detail/fresher-chartered-accountant-ca-job-in-mumbai-at-shah-pratik-p-associates1764234076,7.0,Mumbai
Dean / Director  ASMi Business School (TIU),Techno India University (Kolkata),Kolkata,"₹ 7,68,000 - 9,60,000",5,1,https://internshala.com/job/detail/dean-director-asmi-business-school-tiu-job-in-kolkata-at-techno-india-university-kolkata1766881811,7.0,Kolkata
Sales & Business Development Manager,VyapaarJagat.com,Ahmedabad,"₹ 7,50,000 - 12,80,000",1,0,https://internshala.com/job/detail/sales-business-development-manager-job-in-ahmedabad-at-vyapaarjagatcom1767786093,7.0,Ahmedabad
Sales Executive,Zell Education,Mumbai,"₹ 7,50,000 - 11,50,000",1,1,https://internshala.com/job/detail/sales-executive-job-in-mumbai-at-zell-education1767696808,7.0,Mumbai
Digital Marketing Associate,Tech Ringers Manning Solutions,Hyderabad,"₹ 7,20,000 - 15,60,000",0,0,https://internshala.com/job/detail/fresher-digital-marketing-associate-job-in-hyderabad-at-srinivas-vutukuri1767783487,7.0,Hyderabad
Embedded Systems Specialist,ThinkClock Battery Labs Pvt. Ltd.,Bangalore,"₹ 7,20,000 - 12,00,000",0,2,https://internshala.com/job/detail/fresher-embedded-systems-specialist-job-in-bangalore-at-thinkclock-battery-labs-pvt-ltd1766402441,7.0,Bangalore
Corporate Sales Executive,Nonex Solution Private Limited,Work from home,"₹ 7,20,000 - 10,80,000",0,2,https://internshala.com/job/detail/fresher-remote-corporate-sales-executive-job-at-nonex-solution-private-limited1766047466,7.0,Work from home
Executive Assistant,Sufi Structural Tubes Pvt. Ltd.,Work from home,"₹ 7,20,000 - 10,80,000",1,3,https://internshala.com/job/detail/remote-executive-assistant-job-at-sufi-structural-tubes-pvt-ltd1765268678,7.0,Work from home
PGT Mathematics Teacher For CBSE School,Shanti Asiatic School,Ahmedabad,"₹ 7,20,000 - 9,00,000",13,1,https://internshala.com/job/detail/pgt-mathematics-teacher-for-cbse-school-job-in-ahmedabad-at-shanti-asiatic-school1767745820,7.0,Ahmedabad
"Operations Head For Design School, TIU",Techno India University (Kolkata),Kolkata,"₹ 7,20,000 - 9,00,000",3,1,https://internshala.com/job/detail/operations-head-for-design-school-tiu-job-in-kolkata-at-techno-india-university-kolkata1766968245,7.0,Kolkata
(Surat - Gujarat) Mathematics Teacher For CBSE School.,G.D. Goenka International School Surat,Kolkata,"₹ 7,20,000 - 9,00,000",5,1,https://internshala.com/job/detail/surat-gujarat-mathematics-teacher-for-cbse-school-job-in-kolkata-at-gd-goenka-international-school-surat1766881810,7.0,Kolkata
Treasury Executive,Aces Global Consulting Pvt Ltd,Faridabad,"₹ 7,20,000 - 8,40,000",4,1,https://internshala.com/job/detail/treasury-executive-job-in-faridabad-at-aces-global-consulting-pvt-ltd1766795411,7.0,Faridabad
Senior Web Developer,Digital Heroes,Lucknow(Hybrid),"₹ 7,20,000 - 8,00,000",1,2,https://internshala.com/job/detail/senior-web-developer-job-in-lucknow-at-digital-heroes1766578788,7.0,Lucknow(Hybrid)
Technical Sales,Digital Heroes,Lucknow(Hybrid),"₹ 7,20,000",1,1,https://internshala.com/job/detail/technical-sales-job-in-lucknow-at-digital-heroes1766725174,7.0,Lucknow(Hybrid)
Business Development Executive,Futuation Private Limited,Work from home,"₹ 7,04,000 - 12,50,000",0,3,https://internshala.com/job/detail/fresher-remote-business-development-executive-job-at-futuation-private-limited1765774802,7.0,Work from home
Motion Graphics Specialist,BlueSeal Tech Inc,Work from home,"₹ 7,00,000 - 20,00,000",1,3,https://internshala.com/job/detail/remote-motion-graphics-specialist-job-at-blueseal-tech-inc1765350745,7.0,Work from home
Full Stack Developer,Lit Amor,Work from home,"₹ 7,00,000 - 15,00,000",1,2,https://internshala.com/job/detail/remote-full-stack-developer-job-at-lit-amor1767675355,7.0,Work from home
Business Development Manager,INNOBEATS Technology Private Limited,Bangalore,"₹ 7,00,000 - 15,00,000",1,3,https://internshala.com/job/detail/business-development-manager-job-in-bangalore-at-innobeats-technology-private-limited1765602449,7.0,Bangalore
Project Planner,Jio-bp,"Delhi,Maharashtra,Bangalore,Noida","₹ 7,00,000 - 14,00,000",6,7,https://internshala.com/job/detail/project-planner-job-in-multiple-locations-at-jio-bp1767227411,7.0,Delhi
Field Engineer-Kerala,Jio-bp,"Kerala,Cochin,Changanacheri,Adur","₹ 7,00,000 - 14,00,000",6,1,https://internshala.com/job/detail/field-engineer-kerala-job-in-multiple-locations-at-jio-bp1767141055,7.0,Kerala
Project Planner - EV,Jio-bp,Navi Mumbai,"₹ 7,00,000 - 14,00,000",6,1,https://internshala.com/job/detail/project-planner-ev-job-in-navi-mumbai-at-jio-bp1767141047,7.0,Navi Mumbai
Cluster Field Engineer,Jio-bp,"Bihar,Ranchi,Odisha,Purnia","₹ 7,00,000 - 14,00,000",6,1,https://internshala.com/job/detail/cluster-field-engineer-job-in-multiple-locations-at-jio-bp1767141042,7.0,Bihar
Field Engineer-Kerala,Jio-bp,"Kerala,Cochin,Changanacheri","₹ 7,00,000 - 14,00,000",6,1,https://internshala.com/job/detail/field-engineer-kerala-job-in-multiple-locations-at-jio-bp1767141041,7.0,Kerala
Full Stack Developer,Limelight,Ahmedabad,"₹ 7,00,000 - 13,00,000",1,2,https://internshala.com/job/detail/full-stack-developer-job-in-ahmedabad-at-limelight1766488970,7.0,Ahmedabad
Business Development Executive,Zell Education,Mumbai,"₹ 7,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/business-development-executive-job-in-mumbai-at-zell-education1765276958,7.0,Mumbai
Program Advisor,Zell Education,Mumbai,"₹ 7,00,000 - 12,00,000",1,3,https://internshala.com/job/detail/program-advisor-job-in-mumbai-at-zell-education1765874207,7.0,Mumbai
Business Development Executive,Zell Education,Mumbai,"₹ 7,00,000 - 11,50,000",0,0,https://internshala.com/job/detail/fresher-business-development-executive-job-in-mumbai-at-zell-education1767789171,7.0,Mumbai
Business Development Executive,EFUNDZZ,"Hyderabad,Bangalore","₹ 7,00,000 - 11,00,000",1,3,https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-efundzz1764592223,7.0,Hyderabad
BDR (Business Development Representative),BiteSpeed,Bangalore,"₹ 7,00,000 - 10,00,000",0,3,https://internshala.com/job/detail/fresher-bdr-business-development-representative-job-in-bangalore-at-bitespeed1765431978,7.0,Bangalore
Event Management Manager,Tradearch Market Platforms Pvt Ltd,Mumbai(Hybrid),"₹ 7,00,000 - 10,00,000",1,3,https://internshala.com/job/detail/event-management-manager-job-in-mumbai-at-tradearch-market-platforms-pvt-ltd1765347766,7.0,Mumbai(Hybrid)
Respiratory Therapist,Sir H.N. Reliance Foundation Hospital & Research Centre,Mumbai,"₹ 7,00,000 - 10,00,000",1,3,https://internshala.com/job/detail/respiratory-therapist-job-in-mumbai-at-sir-hn-reliance-foundation-hospital-research-centre1763598745,7.0,Mumbai
Business Development Executive,Orvionar Tech,Bangalore,"₹ 7,00,000 - 9,50,000",0,3,https://internshala.com/job/detail/fresher-business-development-executive-job-in-bangalore-at-orvionar-tech1765792913,7.0,Bangalore
Admission Counsellor,Zell Education,"Delhi,Hyderabad,Bangalore","₹ 7,00,000 - 9,00,000",1,2,https://internshala.com/job/detail/admission-counsellor-job-in-multiple-locations-at-zell-education1766381733,7.0,Delhi
Senior Paid Ads Specialist,MiM-Essay,Delhi,"₹ 7,00,000 - 9,00,000",1,3,https://internshala.com/job/detail/senior-paid-ads-specialist-job-in-delhi-at-mim-essay1765953570,7.0,Delhi
General Ledger Team Leader,WHR Global Consulting,Chennai,"₹ 7,00,000 - 9,00,000",7,1,https://internshala.com/job/detail/general-ledger-team-leader-job-in-chennai-at-whr-global-consulting1767054618,7.0,Chennai
Business Development Associate,Accadmix,"Delhi,Ghaziabad,Gurgaon,Kolkata,Noida,Uttar Pradesh","₹ 7,00,000 - 8,00,000",0,2,https://internshala.com/job/detail/fresher-business-development-associate-job-in-multiple-locations-at-accadmix1766133135,7.0,Delhi
Chartered Accountant (CA),Codezin Technology Solutions,Kolkata,"₹ 7,00,000",1,2,https://internshala.com/job/detail/chartered-accountant-ca-job-in-kolkata-at-codezin-technology-solutions1767591912,7.0,Kolkata
Business Development Associate,ByteBix Technologies,Noida,"₹ 6,95,000 - 9,00,000",0,2,https://internshala.com/job/detail/fresher-business-development-associate-job-in-noida-at-vedant-pal1766141195,6.0,Noida
Business Development Manager,PrimePathway,Work from home,"₹ 6,80,000 - 9,00,000",1,1,https://internshala.com/job/detail/remote-business-development-manager-job-at-primepathway1766652480,6.0,Work from home
Junior Business Development Associate,Zell Education,Mumbai,"₹ 6,75,000 - 10,50,000",0,3,https://internshala.com/job/detail/fresher-junior-business-development-associate-job-in-mumbai-at-zell-education1765606877,6.0,Mumbai
Administrator For Techno India University,Techno India University (Kolkata),Kolkata,"₹ 6,72,000 - 8,40,000",4,1,https://internshala.com/job/detail/administrator-for-techno-india-university-job-in-kolkata-at-techno-india-university-kolkata1766881810,6.0,Kolkata
Corporate Sales Associate - B2B,Internshala,Gurgaon,"₹ 6,60,000 - 7,50,000",1,2,https://internshala.com/job/detail/corporate-sales-associate-b2b-job-in-gurgaon-at-internshala1766413084,6.0,Gurgaon
Business Development Trainee,Zell Education,"Delhi,Hyderabad,Mumbai,Bangalore","₹ 6,50,000 - 12,00,000",0,1,https://internshala.com/job/detail/fresher-business-development-trainee-job-in-multiple-locations-at-zell-education1766838059,6.0,Delhi
Business Development Specialist,Zell Education,Mumbai,"₹ 6,50,000 - 11,50,000",1,2,https://internshala.com/job/detail/business-development-specialist-job-in-mumbai-at-zell-education1767612629,6.0,Mumbai
Sales Associate,Zell Education,Mumbai,"₹ 6,50,000 - 11,25,000",1,3,https://internshala.com/job/detail/sales-associate-job-in-mumbai-at-zell-education1765355217,6.0,Mumbai
Academic Counselor,Alvineient,"Gurgaon,Bangalore","₹ 6,50,000 - 10,70,000",0,2,https://internshala.com/job/detail/fresher-academic-counselor-job-in-multiple-locations-at-alvineient1766465369,6.0,Gurgaon
Admission Counsellor,Zell Education,Mumbai,"₹ 6,50,000 - 10,50,000",1,2,https://internshala.com/job/detail/admission-counsellor-job-in-mumbai-at-zell-education1767675773,6.0,Mumbai
Academic Counselor,Zell Education,"Delhi,Hyderabad,Mumbai,Bangalore","₹ 6,50,000 - 10,50,000",0,2,https://internshala.com/job/detail/fresher-academic-counselor-job-in-multiple-locations-at-zell-education1766467739,6.0,Delhi
Paid Advertisement Specialist,Pixelfoxx Marketing Solutions,Work from home,"₹ 6,50,000 - 10,50,000",1,3,https://internshala.com/job/detail/remote-paid-advertisement-specialist-job-at-pixelfoxx-marketing-solutions1765891070,6.0,Work from home
Sales Management Fresher,Nonex Solution Private Limited,Work from home,"₹ 6,50,000 - 8,50,000",0,2,https://internshala.com/job/detail/fresher-remote-sales-management-fresher-job-at-nonex-solution-private-limited1766403350,6.0,Work from home
Business Development Associate,Zell Education,"Delhi,Hyderabad,Bangalore","₹ 6,50,000 - 8,50,000",1,2,https://internshala.com/job/detail/business-development-associate-job-in-multiple-locations-at-zell-education1766303505,6.0,Delhi
Sales Associate,PlanetSpark,"Patna,Varanasi,Allahabad","₹ 6,50,000 - 7,50,000",0,2,https://internshala.com/job/detail/fresher-sales-associate-job-in-multiple-locations-at-planetspark1767597020,6.0,Patna
Sales Associate (Urgent Hiring),PlanetSpark,"Pune,Jaipur,Bangalore","₹ 6,50,000 - 7,50,000",0,0,https://internshala.com/job/detail/fresher-sales-associate-urgent-hiring-job-in-multiple-locations-at-planetspark1767773703,6.0,Pune
Business Development Associate,PlanetSpark,"Delhi,Noida,Gurgaon","₹ 6,50,000 - 7,50,000",0,0,https://internshala.com/job/detail/fresher-business-development-associate-job-in-multiple-locations-at-planetspark1767773706,6.0,Delhi
Business Development Executive,PlanetSpark,"Ahmedabad,Chennai,Mumbai","₹ 6,50,000 - 7,50,000",0,1,https://internshala.com/job/detail/fresher-business-development-executive-job-in-multiple-locations-at-planetspark1767677624,6.0,Ahmedabad
Sales Associate,PlanetSpark,"Delhi,Guwahati,Hyderabad","₹ 6,50,000 - 7,50,000",0,1,https://internshala.com/job/detail/fresher-sales-associate-job-in-multiple-locations-at-planetspark1767677591,6.0,Delhi
Business Development Specialist,PlanetSpark,"Ahmedabad,Jaipur,Kolkata","₹ 6,50,000 - 7,50,000",0,2,https://internshala.com/job/detail/fresher-business-development-specialist-job-in-multiple-locations-at-planetspark1767597060,6.0,Ahmedabad
Academic Counsellor,PlanetSpark,"Chennai,Madurai,Bangalore","₹ 6,50,000 - 7,50,000",0,3,https://internshala.com/job/detail/fresher-academic-counsellor-job-in-multiple-locations-at-planetspark1767588617,6.0,Chennai
Business Development Associate,PlanetSpark,"Faridabad,Delhi,Ghaziabad","₹ 6,50,000 - 7,50,000",0,3,https://internshala.com/job/detail/fresher-business-development-associate-job-in-multiple-locations-at-planetspark1767588597,6.0,Faridabad
Inside Sales Associate,PlanetSpark,"Chandigarh,Hyderabad,Jaipur","₹ 6,50,000 - 7,50,000",0,5,https://internshala.com/job/detail/fresher-inside-sales-associate-job-in-multiple-locations-at-planetspark1767333937,6.0,Chandigarh
Sales Associate (Fresher Hiring),PlanetSpark,"Dehradun,Delhi,Mumbai","₹ 6,50,000 - 7,50,000",0,5,https://internshala.com/job/detail/fresher-sales-associate-fresher-hiring-job-in-multiple-locations-at-planetspark1767333914,6.0,Dehradun
Data Mining Executive,Nonex Solution Private Limited,Work from home,"₹ 6,50,000 - 7,50,000",0,1,https://internshala.com/job/detail/fresher-remote-data-mining-executive-job-at-nonex-solution-private-limited1767072720,6.0,Work from home
Web Dataset Coordinator,Nonex Solution Private Limited,Work from home,"₹ 6,50,000 - 7,00,000",0,1,https://internshala.com/job/detail/fresher-remote-web-dataset-coordinator-job-at-nonex-solution-private-limited1767154673,6.0,Work from home
Business Development Executive,Brandbase Capsule Pvt Ltd,Mumbai,"₹ 6,50,000",1,6,https://internshala.com/job/detail/business-development-executive-job-in-mumbai-at-brandbase-capsule-pvt-ltd1767330223,6.0,Mumbai
Full Stack Developer,Prodios Labs,Dehradun,"₹ 6,40,000",1,2,https://internshala.com/job/detail/full-stack-developer-job-in-dehradun-at-prodios-labs1766413240,6.0,Dehradun
